Associated Gene Name	Chromosome Name	Gene Start (bp)	Gene End (bp)
LPP	3	188153284	188890671
NET1	10	5412551	5458463
ZBTB22	CHR_HSCHR6_MHC_DBB_CTG1	33292340	33295864
VSTM1	19	54040825	54063953
OCM2	7	97984684	97991169
RNF32	7	156640281	156677130
HACL1	3	15560704	15601852
ZCCHC14	16	87406246	87492045
CD200R1L	3	112815709	112846856
ZNF169	9	94259311	94301454
TXLNG	X	16786427	16844519
LMO4	1	87328468	87348923
HSD17B11	4	87336610	87391386
KLRD1	12	10226058	10329600
RNASE12	14	20590193	20590823
MICA	CHR_HSCHR6_MHC_QBL_CTG1	31389818	31406373
RAB4B	19	40778216	40796938
FAM117A	17	49710332	49789180
GRIPAP1	X	48973720	49002264
CHD6	20	41402101	41618494
MS4A2	11	60088261	60098466
SLC6A11	3	10816200	10940733
INTS1	7	1470277	1504367
TUBB	CHR_HSCHR6_MHC_SSTO_CTG1	30712452	30717677
DHX16	6	30653119	30673037
DEF6	6	35297852	35321771
HIBADH	7	27525442	27662995
COL25A1	4	108810721	109302657
JMJD4	1	227730425	227735411
HLA-DRB1	CHR_HSCHR6_MHC_MANN_CTG1	32679192	32818862
PLEKHA1	10	122374696	122442602
MSX2	5	174724533	174730893
ZNF497	19	58354357	58362848
ZNF91	19	23304991	23395560
CD180	5	67179613	67196799
SUMF1	3	3700814	4467281
SKAP1	17	48133440	48430275
GGTLC2	22	22644475	22647903
DLX3	17	49990005	49995224
COX5B	2	97646040	97648383
DENND5A	11	9138825	9265390
KCNA7	19	49067418	49072941
TWISTNB	7	19695462	19709087
LDHB	12	21635342	21757857
BDKRB2	14	96204679	96244166
GPSM3	CHR_HSCHR6_MHC_APD_CTG1	32257772	32262529
SLC22A18AS	CHR_HSCHR11_1_CTG7	2887804	2903769
LCP2	5	170246237	170298227
DNAJC24	11	31369840	31431849
IMP4	2	130342225	130347810
RDH14	2	18554723	18560680
SLC4A1	17	44248385	44268141
OR4C12	11	49981473	49982535
RNF180	5	64165844	64372869
ANXA9	1	150982017	150995634
HAO1	20	7882981	7940474
FAM221A	7	23680130	23703249
B4GALT2	1	43978943	43991170
ADAMTS20	12	43353866	43551921
NOTCH4	CHR_HSCHR6_MHC_APD_CTG1	32261849	32271406
TNF	6	31575567	31578336
TWSG1	18	9334767	9402420
ZNF415	19	53107879	53133077
ZNF219	14	21090046	21104722
SPATA16	3	172889358	173141268
MEF2A	15	99565417	99716466
DDX49	19	18919675	18928633
OR4E2	14	21665083	21666024
SYCE1	10	133553901	133569835
SH3BP5L	1	248810446	248826633
FAM13A	4	88725955	89111398
CD79A	19	41877120	41881372
PARP8	5	50665899	50846522
AQP4	18	26852038	26865818
LAGE3	X	154477769	154479257
CEACAM18	19	51478622	51490952
CYP2D6	CHR_HSCHR22_3_CTG1	42126495	42130902
GTF3C6	6	110958560	110967890
TAP1	CHR_HSCHR6_MHC_DBB_CTG1	32823186	32831955
ZNF576	19	43596392	43601157
SERPINA7	X	106032442	106038738
N6AMT1	21	28872191	28885371
FAM220A	7	6329409	6348981
RHOU	1	228735077	228746669
OTUD4	4	145110838	145180161
HS2ST1	1	86914648	87109998
NDUFA6	CHR_HSCHR22_3_CTG1	42085525	42090955
TMEM130	7	98846488	98870771
PDK1	2	172555373	172608669
IFIT2	10	89301955	89309276
POLD3	11	74493851	74669117
KCNAB1	3	156037701	156539138
BAX	19	48954815	48961798
METTL21A	2	207580631	207625928
IFIT1	10	89392546	89406486
UGT2B28	4	69280487	69423402
HOXA6	7	27145396	27150603
ANKDD1A	15	64911902	64958700
ARMCX4	X	101418287	101533459
LEMD1	1	205381378	205457091
C11orf54	11	93741591	93764749
KCNC2	12	75040077	75209868
PXN	12	120210439	120265771
LCE3B	1	152613811	152614098
PRPS1L1	7	18026774	18027863
FBXL2	3	33277025	33403662
KBTBD7	13	41189833	41194566
DRAM2	1	111117333	111140216
BEST3	12	69643360	69699476
TEX10	9	100302077	100352939
MED16	CHR_HSCHR19_5_CTG2	868013	881626
SPACA7	CHR_HSCHR13_1_CTG1	112360163	112418533
ATP13A4	3	193402077	193593111
PLBD1	12	14503661	14568349
WWP2	16	69762306	69941741
SPANXN1	X	145246828	145256112
TRIM10	CHR_HSCHR6_MHC_COX_CTG1	30141872	30150859
SESN3	11	95165513	95232541
RIMS2	8	103500748	104256094
OR11H12	14	18601045	18602129
BAIAP2	17	81035122	81117432
RASGEF1B	4	81426393	82044244
WNT7A	3	13816258	13880121
HOXD1	2	176188579	176190907
PTCH1	9	95442980	95517057
NICN1	3	49422946	49429326
COX7A2	6	75237675	75250323
FAM8A1	6	17600355	17611719
INTS9	8	28767661	28890242
MCCD1	CHR_HSCHR6_MHC_APD_CTG1	31595673	31597188
GPATCH2	1	217426992	217631082
PIGX	3	196639775	196736007
RPF2	6	110982015	111028263
DPCR1	CHR_HSCHR6_MHC_COX_CTG1	30930703	30943914
PTK6	20	63528001	63537370
MAP7	6	136342281	136550819
RABGGTA	14	24265538	24271739
FCAR	CHR_HSCHR19_4_CTG3_1	54882451	54899533
ZNF835	19	56661981	56671783
ANKRD33B	5	10564330	10657816
FKRP	19	46746046	46776988
FCGR1B	1	121087345	121096310
GLYATL2	11	58834065	58904215
NDUFA6	22	42085525	42090955
PDK2	17	50094737	50112152
KCNIP1	5	170353487	170736632
ARL4C	2	234493041	234497053
AQP3	9	33441154	33447611
PGM2	4	37826633	37862937
PRIM1	12	56731596	56752373
TMEM9	1	201134772	201171574
SCFD2	4	52872982	53366075
TMEM44	3	194587673	194633689
ZNF862	7	149838367	149867479
TROVE2	1	193059422	193091777
RNF175	4	153710125	153760235
CAGE1	6	7326656	7389743
FRZB	2	182833275	182867162
OR7D2	19	9185594	9188817
UQCRFS1	19	29205321	29213541
POTEF	2	130073535	130129222
FRMPD1	9	37651000	37746904
SEC31A	4	82818661	82901166
WDR38	9	124853417	124857890
KLRC4	12	10407382	10409757
MTF1	1	37809567	37859620
PACRGL	4	20696282	20752907
MMP23B	1	1632095	1701810
NOV	8	119416306	119424353
WRAP53	17	7686071	7703502
SAP25	7	100572228	100573820
HNRNPAB	5	178204507	178211180
LYPD3	19	43460787	43465660
MED20	6	41905354	41921139
APBA3	19	3750819	3761699
UGT2B7	4	69051363	69112987
EIF3L	22	37848868	37889407
LARP1B	4	128061268	128222931
PRRT1	CHR_HSCHR6_MHC_APD_CTG1	32215364	32221379
NMNAT1	1	9943428	9985501
MOCS2	5	53095679	53110063
KCNK18	10	117197489	117210299
PLA2G15	16	68245304	68261062
H2AFJ	12	14774383	14778002
CIZ1	9	128166064	128204383
TNFRSF14	1	2555639	2565382
PTCH2	1	44819844	44843063
KIR2DL3	CHR_HSCHR19KIR_RSH_A_HAP_CTG3_1	54724465	54767826
TPGS1	19	507497	519654
TDRD3	13	60396457	60573878
BCAS1	20	53936777	54070594
KCNQ3	8	132120859	132480953
VWC2L	2	214411065	214578959
LCLAT1	2	30447226	30644225
ADCYAP1R1	7	31052461	31111479
SLA2	20	36612318	36646216
SLC25A41	19	6426037	6433779
NINJ2	12	564296	663779
PTER	10	16436943	16513745
MRPL42	12	93467488	93516213
ADPRH	3	119579268	119589945
SH3PXD2B	5	172325181	172454523
HLA-DMA	CHR_HSCHR6_MHC_COX_CTG1	32870929	32893044
ZNF503	10	75397830	75401906
GUCA1A	6	42155406	42180056
GNAS	20	58839718	58911192
SIX2	2	45005161	45009430
IL15	4	141636599	141733987
ELAVL1	19	7958579	8445041
HSF2	6	122399546	122433119
RBP1	3	139517434	139539829
FAM213B	1	2586491	2591469
GINS4	8	41529206	41545046
IGFBP6	12	53097436	53102345
CNTNAP5	2	124025287	124915287
ARAP2	4	35948221	36244509
CRYBA1	17	29246863	29254494
KIR3DL1	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54830901	54875379
GPSM3	CHR_HSCHR6_MHC_COX_CTG1	32139234	32143991
TOR1AIP2	1	179839967	179877803
HELT	4	185018841	185020804
FAM57B	16	30024427	30052978
DMD	X	31097677	33339441
CLDN15	7	101232092	101238820
KRTAP1-1	17	41040559	41041461
LUZP4	X	115289727	115307556
CIDEB	14	24305096	24311430
RUVBL2	19	48993448	49015995
C2orf71	2	29060976	29074261
TRPM2	21	44350163	44443081
OTOL1	3	161496808	161503942
STARD5	15	81309053	81324183
SLC44A4	CHR_HSCHR6_MHC_MANN_CTG1	31902815	31903058
GPR50	X	151176653	151181465
CRIPAK	4	1391552	1395989
SLC17A4	6	25754699	25781191
ICAM1	19	10270835	10286615
ATXN1L	16	71845991	71885268
CCDC59	12	82223681	82358805
ELF1	13	40931920	41061440
H6PD	1	9234775	9271337
RDH5	12	55720367	55724705
COASY	17	42561467	42566277
KLF4	9	107484852	107490482
CYP4Z1	1	47067488	47118319
RPAIN	17	5419641	5432876
ARMC12	6	35737032	35749079
FMOD	1	203340628	203351489
RRP9	3	51933430	51941941
NAF1	4	163110073	163166921
CD200R1	3	112921209	112975122
NRG4	15	75935969	76059795
ENKUR	10	24981979	25062279
SLC18B1	6	132769370	132798553
ISYNA1	19	18434388	18438301
TMEM147	19	35545595	35547526
KLHDC8B	3	49171611	49176486
C6orf47	CHR_HSCHR6_MHC_DBB_CTG1	31640476	31642950
ETFA	15	76215355	76311472
BANP	16	87949244	88118422
C5orf15	5	133955502	133968787
BIK	22	43110748	43129712
ATP13A5	3	193274790	193378843
ZNF629	16	30778449	30787202
SLC30A4	15	45479611	45522807
NACA	12	56712428	56731628
SAC3D1	11	65040901	65044828
B3GALNT2	1	235449923	235504481
HIGD2A	5	176388747	176389771
PEX5	12	7188685	7218574
CDCA7L	7	21900900	21946084
CMTM8	3	32238679	32370325
DOHH	19	3490821	3500940
COLEC11	2	3594832	3644644
SPPL2C	CHR_HSCHR17_1_CTG5	46250606	46252843
SRF	6	43171299	43181507
FAM126B	2	200973718	201071671
SLC35B4	7	134289332	134317051
FGF9	13	21671383	21704498
SIN3A	15	75369379	75455842
CTNNA1	5	138610967	138935034
ZNF710	15	90001392	90082206
ATP9B	CHR_HSCHR18_2_CTG2_1	79074837	79074964
RUNX2	6	45328157	45664349
TIAM1	21	31118416	31559977
FAM71F2	7	128672288	128687872
RALBP1	18	9475009	9538116
RGS3	9	113444731	113597743
ADAMTSL5	19	1505018	1513604
KRT75	12	52424070	52434525
LMAN2L	2	96705929	96740064
CREB3L4	1	153967534	153974363
LY6G6D	CHR_HSCHR6_MHC_QBL_CTG1	31697128	31708139
KCTD1	18	26454910	26657401
ADRM1	20	62302093	62308862
ATAD3B	1	1471769	1497848
CHST11	12	104455295	104762014
NEU1	CHR_HSCHR6_MHC_MCF_CTG1	31934136	31939383
CCDC71	3	49162535	49166321
S100A16	1	153606886	153613145
LST1	CHR_HSCHR6_MHC_QBL_CTG1	31576352	31579139
SLC44A4	CHR_HSCHR6_MHC_QBL_CTG1	31853571	31869426
C1orf116	1	207018521	207032756
PARP12	7	140023744	140063721
GPANK1	CHR_HSCHR6_MHC_MCF_CTG1	31737508	31742562
CFD	19	859643	863630
PYCR2	1	225919877	225924340
TXNL4B	16	72044289	72094431
TPH2	12	71938846	72186618
ELOVL3	10	102226328	102229589
NDNF	4	121035613	121073021
SLC24A3	20	19212646	19722937
KRCC1	2	88027205	88055729
LYSMD1	1	151159748	151165948
ZBTB25	14	64449106	64505213
TMEM61	1	54980792	54992293
FTSJ3	17	63819433	63830012
MLLT10	10	21524675	21743630
AMBP	9	114060127	114078472
INVS	9	100099256	100301000
MTSS1L	16	70661204	70686066
HS3ST4	16	25692026	26137688
FBXL19	16	30923055	30948783
VPS29	12	110491097	110502117
STK38L	12	27243968	27325959
TGFBR3	1	91680343	91906335
CCDC67	11	93329971	93438487
CALCRL	2	187343129	187448460
VPS54	2	63892146	64019072
CDC7	1	91500893	91525764
GRID2IP	7	6497462	6551436
AP1S3	2	223751686	223838027
R3HDM2	12	57253762	57431005
FAM111A	11	59142748	59155039
LILRB5	CHR_HSCHR19LRC_PGF1_CTG3_1	54251026	54258210
RNF212	4	1056250	1113562
GLT8D2	12	103988984	104064183
WDR78	1	66812885	66924887
BHLHA15	7	98211427	98212979
CDH12	5	21750673	22853622
MYO7B	2	127535802	127637729
MAP3K3	17	63622415	63696303
NCK2	2	105744897	105894274
IGSF21	1	18107746	18378483
GPN3	12	110452484	110469268
CLPX	15	65148219	65185342
CAPN13	2	30722771	30820542
GNB4	3	179396089	179451590
PRR3	6	30556886	30563723
ZNRF4	19	5455431	5456856
ARPC4	3	9792495	9807726
NCALD	8	101686543	102124907
RAB3IL1	11	61897301	61920269
TGIF2	20	36573488	36593950
KIR3DL3	CHR_HSCHR19LRC_PGF1_CTG3_1	54654506	54666521
UBE4A	11	118359585	118399211
IL22RA1	1	24119771	24143121
CEL	9	133061978	133087355
S1PR1	1	101236888	101241518
SREK1	5	66139971	66183615
TNRC18	7	5306790	5425414
USP54	10	73497538	73625953
RAN	12	130871879	130877678
MRPL13	8	120380761	120445402
TSPAN17	5	176647387	176659054
SNX24	5	122843439	123029354
TXNDC16	14	52430590	52552522
BRAP	12	111642146	111685986
ACO2	22	41469125	41528989
SPTLC3	20	13008979	13169103
ZNF696	8	143289676	143298061
TBPL1	6	133952170	133990432
JAKMIP1	4	6026199	6200591
HOMER1	5	79372636	79514217
CSTA	3	122325244	122341972
COL4A1	13	110148963	110307149
RNASEH2B	13	50909678	50973745
TRIM50	7	73312539	73328082
SNTA1	20	33407955	33443892
PLTP	20	45898621	45912155
ERV3-1	7	64990809	65006743
ZNF577	19	51855802	51890950
WFIKKN1	16	629239	634116
MRPL1	4	77862520	77952790
INO80B	2	74455023	74457960
CRELD2	22	49918167	49927540
DHTKD1	10	12068972	12123225
PRRC2B	9	131394093	131500197
RBM14-RBM4	11	66616626	66646469
MAPT	17	45894382	46028334
IDNK	9	83623049	83644130
PFKP	10	3066333	3137712
SPR	2	72887360	72892158
NDUFB9	8	124539103	124568510
SRP54	14	34981957	35029567
GJB6	13	20221971	20232395
PLAC8	4	83090048	83137075
RXRG	1	165400917	165445355
CCDC64	12	119989869	120094494
TNN	1	175067858	175148066
PRAM1	19	8490056	8503112
SEMA6D	15	47184101	47774223
GNRH1	8	25419260	25424654
IL1R2	2	101991844	102028544
PLEKHG4	16	67277510	67289499
FREM1	9	14734666	14910995
C2orf69	2	199911256	199955935
NKIRAS2	17	42011382	42025644
RPL37A	2	216498189	216579180
FSCN3	7	127591409	127602144
ZMPSTE24	1	40258107	40294184
BICD1	12	32106835	32383633
MOG	CHR_HSCHR6_MHC_MCF_CTG1	29656787	29672153
DVL1	1	1335276	1349350
CXADR	21	17512382	17593579
DNAJC18	5	139408588	139444491
KLF7	2	207074137	207167267
GFPT2	5	180300690	180353387
POLR1E	9	37485935	37503697
CHP1	15	41230839	41281890
ADAR	1	154582062	154627999
CCDC105	19	15010744	15023269
EIF6	20	35278907	35284985
AKT2	19	40230317	40285536
LGALS3BP	17	78971238	78980109
HEPHL1	11	94021361	94113751
KDM3B	5	138352596	138437028
HNRNPD	4	82352498	82374503
CCDC166	CHR_HSCHR8_3_CTG7	143693701	143695116
PPP2R2A	8	26291491	26372680
SLC5A7	2	107986523	108013994
ERP27	12	14914035	14939082
UBXN1	11	62676498	62679117
CCDC14	3	123897305	123961408
SYNPO2L	10	73644881	73663803
BBC3	19	47220822	47232766
MLLT3	9	20341665	20622543
SSB	2	169791933	169812064
SNX21	20	45833810	45843275
ADAMTS10	19	8580242	8610735
TMEM239	20	2816302	2820284
RPL36	19	5674947	5691876
MAOB	X	43766611	43882447
SULT1C2	2	108288639	108309915
C2orf91	2	41935368	41954266
ASTL	2	96123850	96138436
ATPAF1	1	46632737	46673867
BCKDK	16	31106107	31112791
SBSPON	8	73064540	73124088
PDZD2	5	31639410	32110931
FAM166B	9	35561831	35563899
AKAP5	14	64465499	64474503
WNT3	17	46762506	46833154
GCGR	17	81804132	81814013
CD300C	17	74541108	74546143
ZNF2	2	95165432	95184317
MTHFSD	16	86530176	86555235
EIF2AK1	7	6022244	6059230
GOLGA7B	10	97850239	97871580
OR10G8	11	124029590	124030634
KIR3DL3	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54726054	54736537
GYG2	X	2828788	2882818
SGOL2	2	200510008	200583782
TNFRSF11A	18	62325287	62391292
LNX1	4	53459301	53701405
LECT1	13	52703264	52739812
RAB18	10	27504174	27542237
SLC25A16	10	68477999	68527474
PARK7	1	7954291	7985505
RNF138	18	32091855	32131561
GPRASP2	X	102712176	102717733
HOXC11	12	53973126	53977643
AZGP1	7	99966720	99976157
KRT20	CHR_HSCHR17_4_CTG4	40875941	40885227
ACTA2	10	88935074	88991390
AMOT	X	112774503	112840815
SRSF12	6	89095959	89118081
MGST1	12	16347142	16609259
PLEKHA5	12	19129752	19376400
FGFR1	8	38411138	38468834
CXorf57	X	106611930	106679442
LGALS4	19	38801671	38813364
ATP2A1	16	28878405	28904509
R3HCC1L	10	98134624	98244897
SNX12	X	71056332	71073426
ZBTB7C	18	48026673	48410752
KIR2DL1	CHR_HSCHR19KIR_ABC08_A1_HAP_CTG3_1	54769794	54784109
MTHFD2	2	74198562	74217565
SPATA5L1	15	45402331	45421419
ASB2	CHR_HSCHR14_7_CTG1	93934153	93976791
NKX2-4	20	21395367	21398028
FCAR	CHR_HSCHR19KIR_FH08_A_HAP_CTG3_1	54874290	54891462
NKG7	19	51371606	51372715
TNFSF11	13	42562736	42608013
MAP6D1	3	183815876	183825594
TAGLN3	3	111998664	112013887
PDS5A	4	39822863	39977956
CLU	8	27596917	27615031
PHF21A	11	45929323	46121178
TNIP2	4	2741648	2756376
NRM	CHR_HSCHR6_MHC_COX_CTG1	30677910	30681283
RNF10	12	120533480	120577594
C6orf106	6	34587288	34696859
SMG9	19	43727992	43754990
MED21	12	27022546	27066343
TLR7	X	12867083	12890380
LENG8	CHR_HSCHR19LRC_COX1_CTG3_1	54380864	54394163
FPR2	19	51752026	51770526
FANCB	X	14843407	14873069
UNC80	2	209771993	209999300
ORMDL1	2	189770323	189784371
COL27A1	9	114155560	114312511
RNASE11	14	20583559	20609884
PILRB	7	100352176	100367733
MPHOSPH6	16	82147798	82170226
TCTN2	12	123671113	123708403
HTR2B	2	231108230	231125118
PLEKHO2	15	64841883	64868007
HS3ST6	16	1911463	1918440
BMP10	2	68865481	68871517
ATP1A4	1	160151570	160186977
NBR1	17	43170481	43211689
SLC39A3	19	2732204	2740152
CPLX3	15	74826547	74831802
RANBP6	9	6011043	6015625
ARMC3	10	22928024	23038523
RHOH	4	40191053	40246967
HOXD12	2	176099730	176101193
ABI3	17	49210227	49223225
ALX4	11	44260444	44310166
PITPNB	22	27851669	27920134
NTN4	12	95657807	95791152
PACS1	11	66070363	66244747
HOXD13	2	176092891	176095938
SNRNP48	6	7590199	7611967
RSL1D1	16	11833850	11851585
OR10W1	11	58266792	58268260
SMTN	22	31064105	31104757
STXBP2	19	7636881	7647873
BMP7	20	57168748	57266629
ACAD10	12	111686056	111757107
CYP2A6	19	40843538	40882210
PTX3	3	157436789	157443628
YY1	14	100238298	100282792
PSMD3	17	39980797	39997960
SLC1A6	19	14950034	15022990
CYB561D1	1	109494052	109502932
TIMM9	14	58408494	58427614
RPL35	9	124857880	124861981
PRKRIR	11	76349956	76380971
FOXS1	20	31844301	31845619
NFKBIE	6	44258166	44265788
PSMD7	16	74296775	74306288
CAD	2	27217390	27243943
MED29	19	39391303	39400637
ZNF131	5	43065176	43192021
GRAMD3	5	126360132	126496494
FAM198B	4	158124474	158173318
ZNF770	15	34978341	34988287
CYP2S1	19	41193049	41207539
CCDC30	1	42463330	42654664
PHACTR2	6	143536845	143831185
HLA-DMA	CHR_HSCHR6_MHC_MCF_CTG1	32982065	33004180
ZBTB26	9	122915566	122931500
CKLF-CMTM1	16	66552587	66579135
PRCD	17	76527586	76553578
MSH6	2	47695530	47810101
ARL1	12	101393120	101407820
ATP6V0A1	17	42458844	42522611
TMTC4	13	100603927	100675093
HLA-DRA	CHR_HSCHR6_MHC_SSTO_CTG1	32446450	32451660
NF1	17	31094927	31382116
CNOT4	7	135361795	135510127
CLIC1	CHR_HSCHR6_MHC_DBB_CTG1	31712749	31721936
MGST3	1	165630861	165661796
OR10H3	19	15741393	15742343
CUL4B	X	120524609	120575794
CNPY4	7	100119613	100125511
VTA1	6	142147162	142224689
NOX5	15	68930525	69062743
FAM192A	16	57152466	57186116
KRT78	12	52837804	52849092
CES1	CHR_HSCHR16_1_CTG3_1	55799704	55830035
HEY1	8	79764010	79767863
RDH12	14	67701886	67734452
PPP1R13L	19	45379634	45406349
ZC3H7B	22	41301522	41360147
ITFG1	16	47154387	47464149
FBXL5	4	15604539	15681679
RALB	2	120240064	120294713
PTH1R	3	46877746	46903799
TGOLN2	2	85318020	85328425
IL6	7	22725884	22732002
ASB8	12	48147788	48181213
UBE2G2	21	44768580	44802019
FGD3	9	92947451	93036236
SIVA1	14	104753100	104768494
C6orf99	6	158869939	158910353
CCDC166	8	143706694	143708109
TMEM247	2	46429190	46484425
CUBN	10	16823964	17129831
TRIM26	CHR_HSCHR6_MHC_COX_CTG1	30174354	30203317
ZNF367	9	96385941	96418329
SUN3	7	47987148	48029119
IL4I1	19	49889654	49929539
PLXND1	3	129555175	129606818
EPHB4	7	100802565	100827521
C3AR1	12	8058302	8066471
DEFB108B	11	71833200	71837710
GRAP2	22	39901082	39973721
UHRF2	9	6413151	6507054
CALHM3	10	103472804	103479240
LHFPL2	5	78485215	78770021
OR10AG1	11	55967558	55968463
DGCR6	22	18906028	18914238
LEAP2	5	132872322	132875046
KCNH8	3	19148454	19535646
DIRAS2	9	90609832	90643104
LRRC59	17	50375059	50397553
FCAMR	1	206957965	206970625
A1BG	19	58345178	58353499
AMPD2	1	109616104	109632051
CLN3	16	28477279	28495575
BTAF1	10	91923769	92030325
CACNA1I	22	39570753	39689737
FADS6	17	74877299	74893781
NSDHL	X	152830967	152869729
CDC25A	3	48157146	48188402
SNX9	6	157700387	157945077
OR2T34	1	248573801	248574757
WASF2	1	27404226	27490158
MAPK11	22	50263713	50270767
WNT3	CHR_HSCHR17_2_CTG5	46591415	46662074
ZKSCAN4	6	28244623	28252224
UNC13B	9	35161992	35405338
CYP26A1	10	93073475	93077890
APCDD1	18	10454628	10489948
CBFB	16	67029116	67101058
NANOS3	19	13862063	13880757
ZNF471	19	56507843	56530221
MCCD1	CHR_HSCHR6_MHC_QBL_CTG1	31518986	31520501
CES5A	CHR_HSCHR16_1_CTG3_1	55843031	55952925
TRMT13	1	100133150	100150497
IL12B	5	159314783	159330887
DDX54	12	113157174	113185479
IL3	5	132060529	132063204
BCL9L	11	118893875	118925608
NOXRED1	14	77394021	77423517
HOXB13	17	48724763	48729178
DRD5	4	9781680	9784009
CCT5	5	10249921	10266412
XRCC2	7	152644779	152676165
API5	11	43311963	43344529
ANKS1A	6	34889265	35091413
MINK1	17	4833388	4898061
PGAP2	11	3797724	3826371
GSC2	22	19148576	19150283
GALNT1	18	35581117	35711834
GPANK1	CHR_HSCHR6_MHC_QBL_CTG1	31651454	31656514
TRIM31	6	30102897	30113106
C3orf79	3	153484495	153502697
SMARCAL1	2	216412414	216483053
ERF	19	42247572	42255157
ZNF141	4	337814	384864
PSMB8	CHR_HSCHR6_MHC_COX_CTG1	32763034	32767021
GSTM5	1	109712255	109775428
FOXK1	7	4682309	4771443
TSHZ3	19	31274945	31349547
FAM78B	1	166057426	166166969
KIR3DL1	CHR_HSCHR19_4_CTG3_1	54794521	54875417
TAT	16	71565660	71577130
SLFN5	17	35243036	35273655
RNF207	1	6205475	6221299
PEX2	8	76980258	77001044
OR2B3	CHR_HSCHR6_MHC_MCF_CTG1	29086444	29087450
ISOC2	19	55452985	55462343
ING4	12	6650280	6663148
CDR1	X	140782405	140784871
CCDC157	22	30356635	30378658
FFAR2	19	35443907	35451767
BOLA1	1	149887890	149900798
FDFT1	8	11795573	11839309
DACH2	X	86148458	86832604
RPS5	19	58386400	58394806
MFAP5	12	8637346	8662888
CCL8	17	34319036	34321402
RALY	20	33993646	34108308
TRIM71	3	32818018	32897826
CENPN	16	81006498	81033114
LSM2	CHR_HSCHR6_MHC_QBL_CTG1	31787629	31797209
ITPKA	15	41493393	41503551
NMNAT2	1	183248237	183418602
FBXL15	10	102419189	102423136
LILRA5	CHR_HSCHR19_4_CTG3_1	54315100	54321156
ADAM28	8	24294040	24359018
ACOXL	2	110732573	111118222
STIP1	11	64185272	64204543
SERPINH1	11	75562056	75572783
KATNAL2	18	46917492	47102243
PF4V1	4	73853189	73854155
MOB1B	4	70902326	71022449
FAM109B	22	42074251	42079441
R3HCC1	8	23270120	23296279
GRK7	3	141778148	141818490
SMG5	1	156249224	156282825
OR7C2	19	14941489	14942448
VPS37B	12	122865328	122896444
ZNF454	5	178941191	178966433
TRIM41	5	181222499	181235809
ABHD16A	CHR_HSCHR6_MHC_SSTO_CTG1	31677699	31694178
KDM5C	X	53191321	53225422
GFER	16	1984207	1987749
S1PR5	19	10512742	10517931
ADAM30	1	119893533	119896495
UST	6	148747328	149076990
KIR3DL3	CHR_HSCHR19KIR_RSH_BA2_HAP_CTG3_1	54724450	54736092
GCC1	7	127580618	127593611
STK31	7	23710167	23832513
ADCK4	19	40691529	40718207
KIAA1462	10	30012800	30115494
B4GALNT3	12	460364	563509
TRIM31	CHR_HSCHR6_MHC_COX_CTG1	30092809	30103024
WDR89	14	63597039	63641861
MYOCD	17	12665890	12768949
SRRM2	16	2752329	2772538
JUND	19	18279760	18281622
NUP35	2	183117513	183161680
TRIM72	16	31214021	31231537
TTC33	5	40714475	40755975
IL11RA	9	34650702	34661892
SCGB3A2	5	147870682	147882191
GJB1	X	71215194	71225516
CHIA	1	111290862	111320566
CDYL2	16	80597906	80804329
PAGE2	X	55089008	55092842
USP48	1	21678298	21783606
TP63	3	189631416	189897279
MAPRE3	2	26970612	27027196
TRIM54	2	27282392	27307439
MRPS33	7	141002610	141015228
PCK1	20	57561080	57568112
TIPIN	15	66336206	66386746
OTUD7A	15	31475398	31870789
TRDN	6	123216339	123637093
FBXO10	9	37510892	37576349
RRP1	21	43789513	43805293
STAC3	12	57243453	57251193
SNX25	4	185204237	185370185
ZNF568	19	36916329	36998700
MEP1A	6	46793390	46839782
CFB	CHR_HSCHR6_MHC_MANN_CTG1	31985034	31990148
MRM1	CHR_HSCHR17_7_CTG4	36602534	36609940
OR6S1	14	20640696	20641691
AKR1C2	10	4922564	5135226
MINPP1	10	87504875	87553460
NECAB1	8	90791550	90959408
RBM44	2	237798389	237842808
PCNT	21	46324122	46445769
RNF5	CHR_HSCHR6_MHC_SSTO_CTG1	32186026	32188465
WHSC1	4	1871424	1982207
RP11-87C12.2	12	121888809	121921470
SAP130	2	127941217	128028120
DHCR7	11	71428193	71452868
PASD1	X	151563622	151676739
ITSN2	2	24202864	24360714
RHOT2	16	668086	674174
PPP2R1B	11	111726908	111766427
FANCC	9	95099054	95317709
SCN3B	11	123629187	123655244
TMEM41A	3	185476496	185499057
IL37	2	112912971	112918882
PRKCSH	19	11435288	11450968
GJB4	1	34759741	34763724
OR12D2	CHR_HSCHR6_MHC_COX_CTG1	29393135	29394203
MITF	3	69739435	69968337
SLC22A2	6	160171061	160277638
SLFN12	17	35411060	35433283
STARD4	5	111496033	111512590
TBCA	5	77691166	77868780
PRDM10	11	129899706	130002835
COL11A1	1	102876467	103108496
OR4L1	14	20060045	20060983
FRAT1	10	97319267	97321915
ZNF257	19	22052452	22091480
ZBTB10	8	80485619	80526265
CYP2F1	19	41114432	41128366
CEBPZ	2	37201612	37231713
IRF6	1	209785623	209806175
NLRC4	2	32224453	32265854
PLCH1	3	155375580	155745067
AARSD1	17	42950526	42964498
GPR157	1	9100305	9129170
ATG12	5	115828200	115841858
